singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
pbK5dg3SHw,6.8038936415345965,15.0,0.0,0.0,0.0,1,FlqXSgw8YZ,Biceps Curl To Shoulder Press,zrfjVNMC1p,2019-02-21,fake_id_284
LYwFrB2zKF,40.82336184920758,10.0,0.0,0.0,0.0,1,0EiVEQLAnw,Smith Machine Glute Bridge,5ezQauTdzZ,2019-06-03,fake_id_286
EHMZ4zJnxa,0.0,5.0,0.0,0.0,0.0,4,rPyjoNvw1N,TRX Pike,LySMjWOKDW,2018-12-06,fake_id_292
AQOloAjZZZ,18.14371637742559,12.0,0.0,0.0,0.0,2,IiDlJMBwDB,Dumbbell Stiff Legged Deadlift,qGvzWq97ly,2019-06-07,fake_id_296
EfUGnw9Z9r,0.0,18.0,0.0,0.0,0.0,1,usNQwXCgqb,Flutter Kicks,dS2Svn8X5C,2019-03-12,fake_id_290
dY8YKs0O8I,0.0,10.0,0.0,0.0,0.0,3,ywiqTEo8ju,Hip Thrust,zPZculSFQQ,2019-03-27,fake_id_291
zCsFKc979I,4.535929094356399,15.0,0.0,0.0,0.0,2,cG2k9wootD,Dumbbell Squat,JiHUd43QR3,2019-05-23,fake_id_292
czd1spQG31,5.669911367945497,6.0,0.0,0.0,0.0,4,ckKBLOgeSo,Dumbbell Bent Over Row,vMa14ybc42,2019-01-29,fake_id_292
ijNiAbupr0,9.071858188712797,10.0,0.0,0.0,0.0,2,3xjFD1d9Qi,Dumbbell Squeeze Press,VYxl8Ctjge,2019-04-09,fake_id_290
VNm6talsRX,0.0,6.0,0.0,0.0,0.0,3,sjZEyBYgs0,Opposite Leg Toe Touch,dw2JNLiYwG,2019-02-25,fake_id_286
BsrXE9A9PQ,20.0,10.0,0.0,0.0,0.0,4,pzxlnwk022,Barbell Shrug,2mVxuSh6dm,2017-12-22,fake_id_291
EQuG8cfmwt,7.0,20.0,0.0,0.0,0.0,2,DWzkPQDHBc,Incline Dumbbell Curl,zialxDxgC7,2018-03-01,fake_id_291
famr1kEdhn,0.0,14.0,0.0,0.0,0.0,2,XIOgUPklGt,Decline Push Up,GqB83FAQp7,2018-07-19,fake_id_291
SHAERyRqSG,15.87575183024739,8.0,0.0,0.0,0.0,1,e2tcBcfLbJ,Hammerstrength Chest Press,2c3sRzWYNW,2018-11-10,fake_id_283
GbGJh8BIEC,4.535929094356399,10.0,0.0,0.0,0.0,2,igffsMuhcs,Side Lunge,PXvA29anG7,2019-01-28,fake_id_292
lBDpJYWSBm,18.14371637742559,8.0,0.0,0.0,0.0,2,J3BnljSQQS,Smith Machine Overhead Shoulder Press,J5o9v306DS,2018-08-09,fake_id_298
AqZa9ER8KK,0.0,22.0,0.0,0.0,0.0,3,BIJg44iQms,Decline Crunch,Kw4LoUymGK,2018-01-09,fake_id_291
w687Vt17Wg,15.87575183024739,5.0,0.0,0.0,0.0,2,24zGZqnPDV,Single Arm Lat Pulldown,WKGaxFtelY,2019-03-11,fake_id_290
QFfpqhTTfW,24.0,12.0,0.0,0.0,0.0,1,CodfcuwBlw,Dumbbell Bent Over Row,TnzMWgBtb4,2019-05-28,fake_id_287
kDtuPFQaBB,16.0,8.0,0.0,0.0,0.0,1,eBUqYq3Rlz,Single Arm Row,5JN9iQoWr9,2018-01-11,fake_id_291
qfM4BDElOT,0.0,11.0,0.0,0.0,0.0,3,pal5uSflAk,Stability Ball Hyperextension,IowIqKzfAo,2019-02-21,fake_id_287
UI18tB05AF,13.4717094102385,15.0,0.0,0.0,0.0,3,XtMKqvF2Rd,Seated Cable Row,NDl4CFLpPN,2019-02-19,fake_id_286
1N1gpPCPiB,0.0,15.0,0.0,0.0,0.0,2,MZifn0OJdz,Oblique Crunch,d6qQIHJ7tq,2019-04-17,fake_id_284
FIYB0LOQAT,17.00973410383649,5.0,0.0,0.0,0.0,4,lXFIGDNSAu,Shotgun Row,vLiwQDtkdn,2019-07-05,fake_id_299
nUJZR9V23I,36.28743275485118,12.0,0.0,0.0,0.0,4,TWfgnGqdlI,Cable Bicep Curl,pedH1QOV7B,2019-02-15,fake_id_283
Fu5Jk20sdE,28.0,10.0,0.0,0.0,0.0,1,XcsS4IiBOS,Dumbbell Decline Bench Press,QCCLDEAbag,2019-03-14,fake_id_293
fXguqNJ8l4,0.0,20.0,0.0,0.0,0.0,3,wtvwi4gUaz,Sit Up,NuSiPOn6OL,2019-02-02,fake_id_283
7ojtD8uUvX,0.0,10.0,0.0,0.0,0.0,2,mGvK96FkKH,Wide Grip Pull Up,l3GzopZS76,2019-05-16,fake_id_287
bBhIpH5TMc,0.0,0.0,0.0,30.0,0.0,2,2xQTK2IfTY,Battle Ropes,BVhRubftiM,2019-09-03,fake_id_285
5DEcHNENew,0.0,16.0,0.0,0.0,0.0,3,z0DAQtm1OV,Lunge,l8lmiEAM8l,2019-09-06,fake_id_294
